scenario_id,clearance_mm,x_offset_mm,y_offset_mm,angular_misalignment_deg,insertion_depth_mm,contact_detection_force_threshold_n,max_allowed_force_n,max_allowed_torque_nm,require_rgbd,require_contact_gate,require_safety_gate,require_readiness_gate,require_pre_control_contract,command_output_enabled,motion_execution_enabled,controller_execution_allowed,trajectory_execution_allowed,follow_joint_trajectory_allowed,real_robot_allowed,moveit_allowed,compute_ik_allowed,fake_dataset_created,fake_plot_created,experimental_result_created
v1_10_scenario_019,0.1,-1.0,-1.0,2.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_020,0.1,-1.0,-1.0,2.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_021,0.1,-1.0,-1.0,2.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_022,0.1,-1.0,-1.0,2.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_023,0.1,-1.0,-1.0,2.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_024,0.1,-1.0,-1.0,2.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_025,0.1,-1.0,-1.0,2.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_026,0.1,-1.0,-1.0,2.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_027,0.1,-1.0,-1.0,2.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_028,0.1,-1.0,0.0,0.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_029,0.1,-1.0,0.0,0.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_030,0.1,-1.0,0.0,0.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_031,0.1,-1.0,0.0,0.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_032,0.1,-1.0,0.0,0.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_033,0.1,-1.0,0.0,0.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_034,0.1,-1.0,0.0,0.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_035,0.1,-1.0,0.0,0.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_036,0.1,-1.0,0.0,0.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_037,0.1,-1.0,0.0,1.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_038,0.1,-1.0,0.0,1.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_039,0.1,-1.0,0.0,1.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_040,0.1,-1.0,0.0,1.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_041,0.1,-1.0,0.0,1.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_042,0.1,-1.0,0.0,1.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_043,0.1,-1.0,0.0,1.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_044,0.1,-1.0,0.0,1.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_045,0.1,-1.0,0.0,1.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_046,0.1,-1.0,0.0,2.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_047,0.1,-1.0,0.0,2.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_048,0.1,-1.0,0.0,2.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_049,0.1,-1.0,0.0,2.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_050,0.1,-1.0,0.0,2.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_051,0.1,-1.0,0.0,2.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_052,0.1,-1.0,0.0,2.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_053,0.1,-1.0,0.0,2.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_054,0.1,-1.0,0.0,2.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_055,0.1,-1.0,1.0,0.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_056,0.1,-1.0,1.0,0.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_057,0.1,-1.0,1.0,0.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_058,0.1,-1.0,1.0,0.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_059,0.1,-1.0,1.0,0.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_060,0.1,-1.0,1.0,0.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_061,0.1,-1.0,1.0,0.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_062,0.1,-1.0,1.0,0.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_063,0.1,-1.0,1.0,0.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_064,0.1,-1.0,1.0,1.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_065,0.1,-1.0,1.0,1.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_066,0.1,-1.0,1.0,1.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_067,0.1,-1.0,1.0,1.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_068,0.1,-1.0,1.0,1.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_069,0.1,-1.0,1.0,1.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_070,0.1,-1.0,1.0,1.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_071,0.1,-1.0,1.0,1.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_072,0.1,-1.0,1.0,1.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_073,0.1,-1.0,1.0,2.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_074,0.1,-1.0,1.0,2.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_075,0.1,-1.0,1.0,2.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_076,0.1,-1.0,1.0,2.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_077,0.1,-1.0,1.0,2.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_078,0.1,-1.0,1.0,2.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_079,0.1,-1.0,1.0,2.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_080,0.1,-1.0,1.0,2.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_081,0.1,-1.0,1.0,2.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_082,0.1,0.0,-1.0,0.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_083,0.1,0.0,-1.0,0.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_084,0.1,0.0,-1.0,0.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_085,0.1,0.0,-1.0,0.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_086,0.1,0.0,-1.0,0.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_087,0.1,0.0,-1.0,0.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_088,0.1,0.0,-1.0,0.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_089,0.1,0.0,-1.0,0.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_090,0.1,0.0,-1.0,0.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_091,0.1,0.0,-1.0,1.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_092,0.1,0.0,-1.0,1.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_093,0.1,0.0,-1.0,1.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_094,0.1,0.0,-1.0,1.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_095,0.1,0.0,-1.0,1.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_096,0.1,0.0,-1.0,1.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_097,0.1,0.0,-1.0,1.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_098,0.1,0.0,-1.0,1.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_099,0.1,0.0,-1.0,1.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_100,0.1,0.0,-1.0,2.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_101,0.1,0.0,-1.0,2.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_102,0.1,0.0,-1.0,2.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_103,0.1,0.0,-1.0,2.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_104,0.1,0.0,-1.0,2.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_105,0.1,0.0,-1.0,2.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_106,0.1,0.0,-1.0,2.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_107,0.1,0.0,-1.0,2.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_108,0.1,0.0,-1.0,2.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_109,0.1,0.0,0.0,0.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_110,0.1,0.0,0.0,0.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_111,0.1,0.0,0.0,0.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_112,0.1,0.0,0.0,0.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_113,0.1,0.0,0.0,0.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_114,0.1,0.0,0.0,0.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_115,0.1,0.0,0.0,0.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_116,0.1,0.0,0.0,0.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_117,0.1,0.0,0.0,0.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_118,0.1,0.0,0.0,1.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_119,0.1,0.0,0.0,1.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_120,0.1,0.0,0.0,1.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_121,0.1,0.0,0.0,1.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_122,0.1,0.0,0.0,1.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_123,0.1,0.0,0.0,1.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_124,0.1,0.0,0.0,1.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_125,0.1,0.0,0.0,1.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_126,0.1,0.0,0.0,1.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_127,0.1,0.0,0.0,2.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_128,0.1,0.0,0.0,2.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_129,0.1,0.0,0.0,2.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_130,0.1,0.0,0.0,2.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_131,0.1,0.0,0.0,2.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_132,0.1,0.0,0.0,2.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_133,0.1,0.0,0.0,2.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_134,0.1,0.0,0.0,2.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_135,0.1,0.0,0.0,2.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_136,0.1,0.0,1.0,0.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_137,0.1,0.0,1.0,0.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_138,0.1,0.0,1.0,0.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_139,0.1,0.0,1.0,0.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_140,0.1,0.0,1.0,0.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_141,0.1,0.0,1.0,0.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_142,0.1,0.0,1.0,0.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_143,0.1,0.0,1.0,0.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_144,0.1,0.0,1.0,0.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_145,0.1,0.0,1.0,1.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_146,0.1,0.0,1.0,1.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_147,0.1,0.0,1.0,1.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_148,0.1,0.0,1.0,1.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_149,0.1,0.0,1.0,1.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_150,0.1,0.0,1.0,1.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_151,0.1,0.0,1.0,1.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_152,0.1,0.0,1.0,1.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_153,0.1,0.0,1.0,1.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_154,0.1,0.0,1.0,2.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_155,0.1,0.0,1.0,2.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_156,0.1,0.0,1.0,2.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_157,0.1,0.0,1.0,2.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_158,0.1,0.0,1.0,2.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_159,0.1,0.0,1.0,2.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_160,0.1,0.0,1.0,2.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_161,0.1,0.0,1.0,2.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_162,0.1,0.0,1.0,2.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_163,0.1,1.0,-1.0,0.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_164,0.1,1.0,-1.0,0.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_165,0.1,1.0,-1.0,0.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_166,0.1,1.0,-1.0,0.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_167,0.1,1.0,-1.0,0.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_168,0.1,1.0,-1.0,0.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_169,0.1,1.0,-1.0,0.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_170,0.1,1.0,-1.0,0.0,20.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_171,0.1,1.0,-1.0,0.0,20.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_172,0.1,1.0,-1.0,1.0,5.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_173,0.1,1.0,-1.0,1.0,5.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_174,0.1,1.0,-1.0,1.0,5.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_175,0.1,1.0,-1.0,1.0,10.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_176,0.1,1.0,-1.0,1.0,10.0,0.1,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_177,0.1,1.0,-1.0,1.0,10.0,0.2,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
v1_10_scenario_178,0.1,1.0,-1.0,1.0,20.0,0.05,50.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
