elapsed_sec,input_signal_contract_passed,output_suggestion_contract_passed,safety_constraint_contract_passed,execution_block_contract_passed,readiness_dependency_contract_passed,future_controller_boundary_contract_passed,all_required_inputs_available,diagnostic_outputs_only,forbidden_outputs_disabled,status
7.457,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
7.658,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
7.856,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
8.057,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
8.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
8.453,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
8.656,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
8.856,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
9.055,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
9.257,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
9.454,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
9.655,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
9.853,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
10.056,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
10.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
10.453,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
10.653,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
10.853,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
11.054,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
11.254,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
11.456,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
11.653,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
11.853,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
12.053,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
12.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
12.453,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
12.653,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
12.853,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
13.053,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
13.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
13.453,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
13.653,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
13.853,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
14.053,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
14.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
14.453,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
14.653,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
14.855,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
15.057,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
15.256,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
15.453,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
15.653,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
15.853,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
16.053,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
16.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
16.454,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
16.653,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
16.853,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
17.053,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
17.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
17.453,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
17.654,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
17.853,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
18.057,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
18.253,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
